8108800000000000 0061000000000000 595C000200100040 592F7F557F4BA838 274F275A275A0000 
592F7F557F4BA838 274F275A275A0000 09E9000027E80000 A100000000005D30 424747FC01C35DFF 
A100000000005D30 424747FC01C35DFF 1C35179B17211C27 FFFE006400480000 27F627E927F127EB 
FFFE006400480000 27F627E927F127EB FEAEFF986C500000 000000000000005F 0000000000000000 
000000000000005F 0000000000000000 A100000000005D30 0061000000000000 41FB47D401C35EFF 
0061000000000000 41FB47D401C35EFF 3CED120000000000 27F627E927F127EB 576698AE69000000 
27F627E927F127EB 576698AE69000000 274F275A275A0000 09E9000027E80000 A100000000005D30 
09E9000027E80000 A100000000005D30 8408800000000000 0061000000000000 592F7F817F61A838 
0061000000000000 592F7F817F61A838 0A00000000000000 595B000200100040 3731323238373033 
595B000200100040 3731323238373033 41AB47AE01C35FFF A100000000005D30 1C39179317251C41 
A100000000005D30 1C39179317251C41 FFFE006400480000 27F627E927F827EB 0000000000000000 
27F627E927F827EB 0000000000000000 0061000000000000 4111476101C361FF 2753275927590000 
4111476101C361FF 2753275927590000 09E9000027ED0000 A100000000005D30 200081037F590000 
A100000000005D30 200081037F590000 83AD660000000000 0000000000000000 3C2B120000000000 
0000000000000000 3C2B120000000000 27F627EF27F827F1 586699AF69000000 8408800000000000 
586699AF69000000 8408800000000000 0061000000000000 595A000200100040 592F7F767F76A838 
595A000200100040 592F7F767F76A838 A100000000005D30 40C5473901C362FF 807B368B02010C28 
40C5473901C362FF 807B368B02010C28 1C3F179D17211C39 FFFE006400480000 27FE27EF27F827F1 
FFFE006400480000 27FE27EF27F827F1 0000000000000000 2753275927590000 0A04000027ED0000 
2753275927590000 0A04000027ED0000 A100000000005D30 0061000000000000 4075471301C363FF 
0061000000000000 4075471301C363FF 3B69120000000000 4DF0000000000000 27FE27EF27FE27F1 
4DF0000000000000 27FE27EF27FE27F1 586799B069000000 FEB0FF999E500000 A100000000005D30 
FEB0FF999E500000 A100000000005D30 000000000000005F 8308800000000000 0061000000000000 
8308800000000000 0061000000000000 595A000200100040 592F7F6B7F61A838 402B46EE01C364FF 
592F7F6B7F61A838 402B46EE01C364FF 0060000000000000 2753275927590000 0A04000027F10000 
2753275927590000 0A04000027F10000 A100000000005D30 1C3917A317211C35 FFFE006400480000 
1C3917A317211C35 FFFE006400480000 27FE27EF27FE27F1 0000000000000000 0061000000000000 
0000000000000000 0061000000000000 3F8F46A001C366FF A100000000005D30 3AA7120000000000 
A100000000005D30 3AA7120000000000 280627F427FE27F6 59689AB069000000 7F08800000000000 
59689AB069000000 7F08800000000000 0061000000000000 0000000000000000 595A000200100040 
0000000000000000 595A000200100040 592F7F557F8CA838 2752275927590000 0A04000027F10000 
2752275927590000 0A04000027F10000 A100000000005D30 3F45467801C367FF 200081037F590000 
3F45467801C367FF 200081037F590000 1C43179317191C35 FFFE006400480000 280627F427FE27F6 
FFFE006400480000 280627F427FE27F6 0000000000000000 A100000000005D30 0061000000000000 
A100000000005D30 0061000000000000 3EF5465301C368FF 807B362202010E28 0000000000000000 
